Station,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12
五股  Wugu C0AI00,25.076227777777778,121.41905277777778,16.3,17.6,18.9,24.5,25.0,28.1,29.7,29.4,28.6,24.3,20.4,15.7
斗南  Dounan C0K460,23.680477777777778,120.47023055555556,17.1,18.9,20.9,25.9,26.0,28.9,29.2,29.0,28.5,26.3,22.7,17.9
宜蘭  YILAN 467080,24.765791666666665,121.74834166666666,16.6,18.5,18.7,24.4,24.6,27.7,29.7,28.9,28.4,25.4,21.3,17.1
板橋  Banchiao C0AJ80,25.012430555555557,121.4406388888889,16.4,17.5,18.9,24.6,25.2,28.3,29.8,29.5,29.1,25.9,21.5,17.1
南投  Nantou C0I460,23.913208333333333,120.67918333333334,17.4,19.6,21.4,26.3,26.6,28.7,29.1,29.2,28.6,27.0,23.4,18.2
恆春  HENGCHUN 467590,22.00566111111111,120.73830833333334,21.3,23.1,23.4,27.3,27.8,29.5,29.6,28.8,28.5,27.5,25.3,21.8
苗栗  Miaoli C0E750,24.566666666666666,120.81644444444444,15.8,17.3,19.3,25.2,25.2,28.4,29.6,29.3,28.6,25.9,22.1,17.0
員林  Yuanlin C0G650,23.948055555555555,120.57777777777777,17.5,19.5,21.4,26.2,26.6,30.3,30.3,29.8,29.2,27.7,24.8,19.7
桃園  Taoyuan C0C480,24.99416666666667,121.315,16.2,17.4,18.9,24.7,25.3,28.7,30.1,29.9,29.2,25.8,21.7,16.9
高雄  Kaohsiung 467441,22.73217222222222,120.3044361111111,18.6,21.2,22.8,27.1,27.1,29.1,29.3,28.4,28.2,26.5,23.7,19.0
基隆  KEELUNG 466940,25.135130555555556,121.7322638888889,16.4,16.5,18.4,24.1,24.4,27.9,30.0,29.4,28.6,25.5,21.8,17.2
深坑  Shenkeng C0AH80,25.00448888888889,121.62010555555555,16.2,17.9,19.0,24.8,25.1,28.3,29.6,29.2,28.9,26.1,19.1,17.2
新竹市東區  Dongqu Hsinshu City C0D660,24.80043888888889,120.97873611111112,15.9,16.9,18.9,24.3,24.9,28.4,29.5,29.0,28.5,25.1,21.4,16.6
嘉義  CHIAYI 467480,23.497672222222224,120.42478333333334,17.3,19.2,21.1,26.1,26.1,29.1,29.1,29.1,28.3,26.3,22.7,17.9
臺中  TAICHUNG 467490,24.147494444444444,120.6759138888889,17.5,19.3,21.1,26.1,26.5,28.8,29.7,29.1,28.4,27.1,23.4,18.3
臺北  TAIPEI 466920,25.039461111111113,121.50664722222223,16.9,18.0,19.3,24.9,25.4,28.5,30.1,29.9,29.3,26.1,22.2,17.6
臺南  TAINAN 467410,22.99501388888889,120.196825,18.5,20.8,22.4,27.0,27.6,29.5,29.9,29.3,29.1,27.1,23.7,18.8
蘇澳  Suao C0UB10,24.59875,121.84889444444444,16.4,18.2,18.8,24.1,24.4,27.6,29.5,28.9,28.2,25.2,21.2,17.1
麟洛  Linluo C0R570,22.652555555555555,120.51913888888889,20.1,23.3,24.5,28.5,29.2,30.4,30.6,29.7,29.6,27.9,25.9,21.4
